第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,暫定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,２０２６年２月１日確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2025年
1～11月","2024年
1～11月",増減,増減率(％）,"2025年
1～11月","2024年
1～11月",増減,増減率(％),"2025年
1～11月","2024年
1～11月",増減ポイント,"2025年
1～11月","2024年
1～11月",増減,増減率(％),"2025年
1～11月","2024年
1～11月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,0,4,-4,-100,0,5,-5,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,137,122,15,12.3,90,65,25,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,6,5,1,20,7,6,1,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,26,22,4,18.2,21,9,12,133.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,59,56,3,5.4,46,27,19,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,11,2,9,450,5,2,3,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,18,10,8,80,6,1,5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,17,27,-10,-37,5,20,-15,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,2321,2426,-105,-4.3,1552,1645,-93,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,2733,3135,-402,-12.8,1826,2103,-277,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,483,681,-198,-29.1,293,450,-157,-34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,123,161,-38,-23.6,89,109,-20,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,290,360,-70,-19.4,154,215,-61,-28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,662,657,5,0.8,407,387,20,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,492,549,-57,-10.4,404,388,16,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,380,465,-85,-18.3,273,369,-96,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,31,38,-7,-18.4,16,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,山梨県,46,38,8,21.1,33,30,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,長野県,79,63,16,25.4,57,53,4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,静岡県,147,123,24,19.5,100,86,14,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,849,941,-92,-9.8,554,638,-84,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,42,28,14,50,31,17,14,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,23,32,-9,-28.1,15,26,-11,-42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,28,25,3,12,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,62,78,-16,-20.5,42,48,-6,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,609,690,-81,-11.7,404,485,-81,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,85,88,-3,-3.4,50,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,690,617,73,11.8,613,536,77,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,16,27,-11,-40.7,12,19,-7,-36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,48,53,-5,-9.4,46,42,4,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
