罪種,認知件数_2025,認知件数_2024,増減,増減率
総数,,472771.0,461820.0,10951.0
北海道,,14154.0,13361.0,793.0
北海道,,10851.0,10239.0,612.0
北海道,,995.0,922.0,73.0
北海道,,1021.0,985.0,36.0
北海道,,976.0,896.0,80.0
北海道,,311.0,319.0,-8.0
東北,,20050.0,20303.0,-253.0
東北,,2529.0,2482.0,47.0
東北,,1882.0,2142.0,-260.0
東北,,6642.0,6592.0,50.0
東北,,1544.0,1481.0,63.0
東北,,1917.0,1691.0,226.0
東北,,5536.0,5915.0,-379.0
東京都,,56987.0,56708.0,279.0
関東,,151094.0,148169.0,2925.0
関東,,12993.0,15241.0,-2248.0
関東,,9010.0,8638.0,372.0
関東,,10731.0,10068.0,663.0
関東,,35287.0,34720.0,567.0
関東,,27068.0,26765.0,303.0
関東,,32389.0,29879.0,2510.0
関東,,5879.0,5858.0,21.0
関東,,2208.0,2422.0,-214.0
関東,,4803.0,4866.0,-63.0
関東,,10726.0,9712.0,1014.0
中部,,56979.0,53710.0,3269.0
中部,,3360.0,3129.0,231.0
中部,,3186.0,3514.0,-328.0
中部,,1914.0,1854.0,60.0
中部,,7840.0,7097.0,743.0
中部,,34152.0,31343.0,2809.0
中部,,6527.0,6773.0,-246.0
近畿,,93092.0,91770.0,1322.0
近畿,,4589.0,4453.0,136.0
近畿,,7624.0,7581.0,43.0
近畿,,53963.0,53544.0,419.0
近畿,,21332.0,20543.0,789.0
近畿,,3572.0,3429.0,143.0
近畿,,2012.0,2220.0,-208.0
中国,,20612.0,20548.0,64.0
中国,,1728.0,1382.0,346.0
中国,,1145.0,1204.0,-59.0
中国,,6432.0,6237.0,195.0
中国,,8466.0,8844.0,-378.0
中国,,2841.0,2881.0,-40.0
四国,,11638.0,11474.0,164.0
四国,,1974.0,1935.0,39.0
四国,,3146.0,2949.0,197.0
四国,,4351.0,4361.0,-10.0
四国,,2167.0,2229.0,-62.0
九州,,48165.0,45777.0,2388.0
九州,,23745.0,23057.0,688.0
九州,,2262.0,2305.0,-43.0
九州,,1944.0,1989.0,-45.0
九州,,4301.0,4076.0,225.0
九州,,2495.0,2060.0,435.0
九州,,3067.0,2692.0,375.0
九州,,4506.0,4125.0,381.0
九州,,5845.0,5473.0,372.0
重要犯罪,,13805.0,13468.0,337.0
重要犯罪,,919.0,897.0,22.0
重要犯罪,,1320.0,1257.0,63.0
重要犯罪,,630.0,679.0,-49.0
重要犯罪,,3819.0,3609.0,210.0
重要犯罪,,553.0,545.0,8.0
重要犯罪,,6564.0,6481.0,83.0
重要窃盗犯,,51653.0,46698.0,4955.0
重要窃盗犯,,43770.0,39299.0,4471.0
重要窃盗犯,,15924.0,14598.0,1326.0
重要窃盗犯,,27846.0,24701.0,3145.0
重要窃盗犯,,6012.0,5574.0,438.0
重要窃盗犯,,439.0,523.0,-84.0
重要窃盗犯,,1432.0,1302.0,130.0
重要犯罪,,10710.0,10184.0,526.0
重要犯罪,,801.0,845.0,-44.0
重要犯罪,,1641.0,1572.0,69.0
重要犯罪,,453.0,463.0,-10.0
重要犯罪,,3064.0,2805.0,259.0
重要犯罪,,497.0,447.0,50.0
重要犯罪,,4254.0,4052.0,202.0
重要窃盗犯,,6088.0,5988.0,100.0
重要窃盗犯,,4877.0,4846.0,31.0
重要窃盗犯,,1676.0,1686.0,-10.0
重要窃盗犯,,3201.0,3160.0,41.0
重要窃盗犯,,709.0,566.0,143.0
重要窃盗犯,,202.0,232.0,-30.0
重要窃盗犯,,300.0,344.0,-44.0
注　侵入盗の「住宅対象」とは、空き巣、忍込み及び居空きをいう。,,,,
第６表,,,,
総数,,13805.0,13468.0,337.0
北海道,,508.0,473.0,35.0
北海道,,345.0,315.0,30.0
北海道,,32.0,35.0,-3.0
北海道,,43.0,41.0,2.0
北海道,,59.0,50.0,9.0
北海道,,29.0,32.0,-3.0
東北,,760.0,899.0,-139.0
東北,,137.0,168.0,-31.0
東北,,92.0,111.0,-19.0
東北,,282.0,334.0,-52.0
東北,,45.0,57.0,-12.0
東北,,58.0,64.0,-6.0
東北,,146.0,165.0,-19.0
東京都,,1875.0,1753.0,122.0
関東,,3625.0,3547.0,78.0
関東,,220.0,229.0,-9.0
関東,,149.0,113.0,36.0
関東,,164.0,160.0,4.0
関東,,1076.0,1065.0,11.0
関東,,582.0,596.0,-14.0
関東,,741.0,775.0,-34.0
関東,,156.0,134.0,22.0
関東,,56.0,52.0,4.0
関東,,111.0,109.0,2.0
関東,,370.0,314.0,56.0
中部,,1483.0,1390.0,93.0
中部,,82.0,80.0,2.0
中部,,88.0,99.0,-11.0
中部,,50.0,69.0,-19.0
中部,,152.0,152.0,0.0
中部,,978.0,879.0,99.0
中部,,133.0,111.0,22.0
近畿,,3149.0,3090.0,59.0
近畿,,195.0,186.0,9.0
近畿,,248.0,248.0,0.0
近畿,,1712.0,1635.0,77.0
近畿,,816.0,863.0,-47.0
近畿,,102.0,86.0,16.0
近畿,,76.0,72.0,4.0
中国,,703.0,577.0,126.0
中国,,57.0,61.0,-4.0
中国,,50.0,43.0,7.0
中国,,206.0,138.0,68.0
中国,,303.0,281.0,22.0
中国,,87.0,54.0,33.0
四国,,280.0,306.0,-26.0
四国,,34.0,53.0,-19.0
四国,,98.0,97.0,1.0
四国,,80.0,88.0,-8.0
四国,,68.0,68.0,0.0
九州,,1422.0,1433.0,-11.0
九州,,529.0,571.0,-42.0
九州,,93.0,91.0,2.0
九州,,103.0,87.0,16.0
九州,,203.0,163.0,40.0
九州,,57.0,60.0,-3.0
九州,,80.0,105.0,-25.0
九州,,176.0,181.0,-5.0
九州,,181.0,175.0,6.0
第６表,,,,
総数,,919.0,897.0,22.0
北海道,,31.0,46.0,-15.0
北海道,,20.0,25.0,-5.0
北海道,,3.0,2.0,1.0
北海道,,4.0,8.0,-4.0
北海道,,3.0,6.0,-3.0
北海道,,1.0,5.0,-4.0
東北,,56.0,49.0,7.0
東北,,8.0,5.0,3.0
東北,,7.0,7.0,0.0
東北,,17.0,17.0,0.0
東北,,7.0,5.0,2.0
東北,,2.0,4.0,-2.0
東北,,15.0,11.0,4.0
東京都,,107.0,87.0,20.0
関東,,287.0,255.0,32.0
関東,,19.0,20.0,-1.0
関東,,12.0,10.0,2.0
関東,,16.0,16.0,0.0
関東,,81.0,57.0,24.0
関東,,43.0,35.0,8.0
関東,,57.0,59.0,-2.0
関東,,20.0,7.0,13.0
関東,,4.0,5.0,-1.0
関東,,7.0,7.0,0.0
関東,,28.0,39.0,-11.0
中部,,73.0,81.0,-8.0
中部,,7.0,3.0,4.0
中部,,2.0,2.0,0.0
中部,,1.0,4.0,-3.0
中部,,14.0,7.0,7.0
中部,,39.0,57.0,-18.0
中部,,10.0,8.0,2.0
近畿,,240.0,221.0,19.0
近畿,,17.0,15.0,2.0
近畿,,6.0,7.0,-1.0
近畿,,154.0,135.0,19.0
近畿,,51.0,51.0,0.0
近畿,,9.0,5.0,4.0
近畿,,3.0,8.0,-5.0
中国,,43.0,36.0,7.0
中国,,1.0,2.0,-1.0
中国,,2.0,3.0,-1.0
中国,,9.0,7.0,2.0
中国,,26.0,21.0,5.0
中国,,5.0,3.0,2.0
四国,,18.0,33.0,-15.0
四国,,4.0,5.0,-1.0
四国,,1.0,14.0,-13.0
四国,,9.0,7.0,2.0
四国,,4.0,7.0,-3.0
九州,,64.0,89.0,-25.0
九州,,34.0,33.0,1.0
九州,,3.0,7.0,-4.0
九州,,2.0,5.0,-3.0
九州,,2.0,9.0,-7.0
九州,,3.0,4.0,-1.0
九州,,5.0,5.0,0.0
九州,,3.0,10.0,-7.0
九州,,12.0,16.0,-4.0
第６表,,,,
総数,,1320.0,1257.0,63.0
北海道,,40.0,41.0,-1.0
北海道,,27.0,30.0,-3.0
北海道,,2.0,3.0,-1.0
北海道,,5.0,6.0,-1.0
北海道,,5.0,2.0,3.0
北海道,,1.0,0.0,1.0
東北,,37.0,48.0,-11.0
東北,,3.0,2.0,1.0
東北,,5.0,8.0,-3.0
東北,,14.0,24.0,-10.0
東北,,2.0,1.0,1.0
東北,,2.0,3.0,-1.0
東北,,11.0,10.0,1.0
東京都,,239.0,252.0,-13.0
関東,,410.0,379.0,31.0
関東,,25.0,30.0,-5.0
関東,,13.0,21.0,-8.0
関東,,16.0,11.0,5.0
関東,,124.0,100.0,24.0
関東,,77.0,67.0,10.0
関東,,87.0,99.0,-12.0
関東,,13.0,7.0,6.0
関東,,3.0,6.0,-3.0
関東,,14.0,8.0,6.0
関東,,38.0,30.0,8.0
中部,,113.0,112.0,1.0
中部,,4.0,3.0,1.0
中部,,6.0,5.0,1.0
中部,,1.0,4.0,-3.0
中部,,10.0,6.0,4.0
中部,,85.0,85.0,0.0
中部,,7.0,9.0,-2.0
近畿,,323.0,285.0,38.0
近畿,,12.0,7.0,5.0
近畿,,21.0,20.0,1.0
近畿,,202.0,182.0,20.0
近畿,,78.0,67.0,11.0
近畿,,7.0,7.0,0.0
近畿,,3.0,2.0,1.0
中国,,41.0,45.0,-4.0
中国,,1.0,3.0,-2.0
中国,,1.0,2.0,-1.0
中国,,9.0,8.0,1.0
中国,,23.0,24.0,-1.0
中国,,7.0,8.0,-1.0
四国,,26.0,13.0,13.0
四国,,3.0,2.0,1.0
四国,,8.0,6.0,2.0
四国,,7.0,3.0,4.0
四国,,8.0,2.0,6.0
九州,,91.0,82.0,9.0
九州,,40.0,47.0,-7.0
九州,,10.0,2.0,8.0
九州,,3.0,2.0,1.0
九州,,10.0,5.0,5.0
九州,,2.0,3.0,-1.0
九州,,1.0,4.0,-3.0
九州,,10.0,10.0,0.0
九州,,15.0,9.0,6.0
第６表,,,,
総数,,316.0,329.0,-13.0
北海道,,14.0,12.0,2.0
北海道,,10.0,6.0,4.0
北海道,,0.0,0.0,0.0
北海道,,4.0,4.0,0.0
北海道,,0.0,2.0,-2.0
北海道,,0.0,0.0,0.0
東北,,10.0,19.0,-9.0
東北,,0.0,1.0,-1.0
東北,,2.0,4.0,-2.0
東北,,1.0,7.0,-6.0
東北,,2.0,1.0,1.0
東北,,0.0,3.0,-3.0
東北,,5.0,3.0,2.0
東京都,,38.0,65.0,-27.0
関東,,104.0,103.0,1.0
関東,,10.0,15.0,-5.0
関東,,6.0,8.0,-2.0
関東,,8.0,5.0,3.0
関東,,24.0,17.0,7.0
関東,,17.0,17.0,0.0
関東,,22.0,29.0,-7.0
関東,,5.0,3.0,2.0
関東,,0.0,4.0,-4.0
関東,,2.0,1.0,1.0
関東,,10.0,4.0,6.0
中部,,31.0,31.0,0.0
中部,,0.0,1.0,-1.0
中部,,2.0,1.0,1.0
中部,,0.0,2.0,-2.0
中部,,1.0,2.0,-1.0
中部,,24.0,20.0,4.0
中部,,4.0,5.0,-1.0
近畿,,71.0,53.0,18.0
近畿,,1.0,3.0,-2.0
近畿,,10.0,5.0,5.0
近畿,,40.0,30.0,10.0
近畿,,17.0,11.0,6.0
近畿,,1.0,2.0,-1.0
近畿,,2.0,2.0,0.0
中国,,11.0,10.0,1.0
中国,,1.0,0.0,1.0
中国,,0.0,1.0,-1.0
中国,,5.0,2.0,3.0
中国,,5.0,5.0,0.0
中国,,0.0,2.0,-2.0
四国,,12.0,7.0,5.0
四国,,1.0,1.0,0.0
四国,,2.0,3.0,-1.0
四国,,7.0,2.0,5.0
